stream,event_ns,arrival_ns,accuracy,v0,v1,v2,v3,v4,v5
accelerometer_uncalibrated,287043831711015,287043834407275,3,-1.314417,4.807557,8.549694,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043839720468,287043842507236,3,18.678001,-20.980001,-143.517014,7.644001,24.008001,-125.219009
gyroscope_uncalibrated,287043839720468,287043842593447,3,-0.014050,0.008552,0.014661,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043839720468,287043842623799,3,-1.292869,4.788404,8.568848,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043847730703,287043850210049,3,18.682001,-21.062000,-142.114014,7.644001,24.007002,-125.220009
gyroscope_uncalibrated,287043847730703,287043850295752,3,-0.007330,0.021991,0.010385,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043847730703,287043850317900,3,-1.302446,4.781221,8.568848,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043855739296,287043860146104,3,17.081001,-20.760000,-141.996002,7.644001,24.007002,-125.219009
gyroscope_uncalibrated,287043855739296,287043860211729,3,0.001833,0.032987,0.003665,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043855739296,287043860236611,3,-1.331176,4.783615,8.535329,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043863750625,287043867230518,3,16.813002,-21.159000,-143.288010,7.644001,24.008001,-125.219009
gyroscope_uncalibrated,287043863750625,287043867511260,3,0.010385,0.029322,-0.001222,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043863750625,287043868049033,3,-1.398214,4.790798,8.532935,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043871762187,287043875344502,3,16.995001,-21.617001,-145.987000,7.644001,24.007002,-125.220009
gyroscope_uncalibrated,287043871762187,287043875425166,3,0.017104,0.011606,0.002443,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043871762187,287043875453838,3,-1.465251,4.795586,8.513782,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043879777070,287043882699385,3,17.860001,-22.538002,-146.097000,7.644001,24.007002,-125.220009
gyroscope_uncalibrated,287043879777070,287043882760479,3,0.025045,-0.000611,0.004276,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043879777070,287043882778369,3,-1.505953,4.771644,8.463503,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043887791601,287043891507354,3,17.780001,-21.998001,-146.098007,7.644001,24.007002,-125.219009
gyroscope_uncalibrated,287043887791601,287043891891104,3,0.030543,-0.018326,0.018326,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043887791601,287043892810986,3,-1.537078,4.762067,8.396465,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043895807304,287043902804502,3,16.082001,-21.344002,-146.629013,7.644001,24.008001,-125.219009
gyroscope_uncalibrated,287043895807304,287043903114541,3,0.032376,-0.036652,0.032987,0.004887,0.003665,0.000000
